order_id,product_id,store_id,order_date,quantity,total_amount,order_status
ORD-00000076,PRD-00021,STR-0010,2024-01-02,4,137.12,Returned
ORD-00000077,PRD-00057,STR-0010,2024-01-02,2,702.46,Returned
ORD-00000078,PRD-00017,STR-0005,2024-01-02,5,229.55,Completed
ORD-00000079,PRD-00050,STR-0009,2024-01-02,2,9.54,Completed
ORD-00000080,PRD-00028,STR-0010,2024-01-02,2,320.1,Cancelled
ORD-00000081,PRD-00002,STR-0009,2024-01-02,3,1496.13,Returned
ORD-00000082,PRD-00066,STR-0017,2024-01-02,4,1092.44,Completed
ORD-00000083,PRD-00022,STR-0012,2024-01-02,2,231.12,Cancelled
ORD-00000084,PRD-00065,STR-0011,2024-01-02,5,1422.75,Completed
ORD-00000085,PRD-00049,STR-0016,2024-01-02,2,24.14,Cancelled
ORD-00000086,PRD-00062,STR-0006,2024-01-02,4,1761.8,Completed
ORD-00000087,PRD-00002,STR-0003,2024-01-02,3,1496.13,Completed
ORD-00000088,PRD-00040,STR-0007,2024-01-02,2,705.38,Completed
ORD-00000089,PRD-00036,STR-0004,2024-01-02,2,676.48,Completed
ORD-00000090,PRD-00064,STR-0015,2024-01-02,5,1381.65,Returned
ORD-00000091,PRD-00068,STR-0008,2024-01-03,2,1007.48,Completed
ORD-00000092,PRD-00005,STR-0013,2024-01-03,1,740.04,Completed
ORD-00000093,PRD-00065,STR-0003,2024-01-03,3,853.65,Cancelled
ORD-00000094,PRD-00011,STR-0002,2024-01-03,4,1976.32,Cancelled
ORD-00000095,PRD-00067,STR-0008,2024-01-03,2,140.92,Completed
ORD-00000096,PRD-00024,STR-0008,2024-01-03,2,137.82,Returned
ORD-00000097,PRD-00059,STR-0006,2024-01-03,1,399.81,Cancelled
ORD-00000098,PRD-00035,STR-0009,2024-01-03,1,207.99,Returned
ORD-00000099,PRD-00025,STR-0003,2024-01-03,2,163.22,Cancelled
ORD-00000100,PRD-00039,STR-0002,2024-01-03,2,401.1,Completed
ORD-00000101,PRD-00032,STR-0016,2024-01-03,4,718.2,Completed
ORD-00000102,PRD-00007,STR-0011,2024-01-03,1,930.7,Completed
ORD-00000103,PRD-00062,STR-0004,2024-01-03,4,1761.8,Completed
ORD-00000104,PRD-00061,STR-0007,2024-01-03,1,408.25,Cancelled
ORD-00000105,PRD-00028,STR-0016,2024-01-03,3,480.15,Cancelled
ORD-00000106,PRD-00002,STR-0014,2024-01-03,1,498.71,Returned
ORD-00000107,PRD-00057,STR-0007,2024-01-03,5,1756.15,Returned
ORD-00000108,PRD-00059,STR-0001,2024-01-03,3,1199.43,Completed
ORD-00000109,PRD-00035,STR-0016,2024-01-03,2,415.98,Completed
ORD-00000110,PRD-00065,STR-0016,2024-01-03,5,1422.75,Completed
ORD-00000111,PRD-00039,STR-0009,2024-01-03,5,1002.75,Completed
ORD-00000112,PRD-00044,STR-0009,2024-01-03,5,24.7,Cancelled
ORD-00000113,PRD-00040,STR-0015,2024-01-03,1,352.69,Completed
ORD-00000114,PRD-00063,STR-0001,2024-01-03,3,476.85,Cancelled
ORD-00000115,PRD-00061,STR-0016,2024-01-03,2,816.5,Completed
ORD-00000116,PRD-00009,STR-0014,2024-01-03,3,3399.27,Completed
ORD-00000117,PRD-00057,STR-0011,2024-01-03,5,1756.15,Completed
ORD-00000118,PRD-00025,STR-0004,2024-01-03,2,163.22,Completed
ORD-00000119,PRD-00040,STR-0017,2024-01-03,3,1058.07,Completed
ORD-00000120,PRD-00068,STR-0016,2024-01-03,1,503.74,Returned
ORD-00000121,PRD-00039,STR-0007,2024-01-03,5,1002.75,Returned
ORD-00000122,PRD-00020,STR-0011,2024-01-03,2,87.38,Completed
ORD-00000123,PRD-00051,STR-0006,2024-01-03,2,19.54,Cancelled
ORD-00000124,PRD-00021,STR-0011,2024-01-03,5,171.4,Completed
ORD-00000125,PRD-00054,STR-0009,2024-01-03,2,7.08,Completed
ORD-00000126,PRD-00061,STR-0010,2024-01-03,3,1224.75,Completed
ORD-00000127,PRD-00040,STR-0011,2024-01-03,3,1058.07,Returned
ORD-00000128,PRD-00041,STR-0015,2024-01-03,3,310.14,Completed
ORD-00000129,PRD-00051,STR-0014,2024-01-03,1,9.77,Completed
ORD-00000130,PRD-00008,STR-0014,2024-01-03,3,3048.99,Returned
ORD-00000131,PRD-00018,STR-0015,2024-01-03,3,207.45,Completed
ORD-00000132,PRD-00026,STR-0007,2024-01-03,3,393.72,Completed
ORD-00000133,PRD-00048,STR-0001,2024-01-03,3,55.17,Completed
ORD-00000134,PRD-00049,STR-0011,2024-01-03,5,60.35,Cancelled
ORD-00000135,PRD-00026,STR-0007,2024-01-03,5,656.2,Cancelled
ORD-00000136,PRD-00057,STR-0009,2024-01-03,1,351.23,Completed
ORD-00000137,PRD-00032,STR-0006,2024-01-03,3,538.65,Returned
ORD-00000138,PRD-00062,STR-0016,2024-01-03,1,440.45,Returned
ORD-00000139,PRD-00050,STR-0016,2024-01-03,2,9.54,Completed
ORD-00000140,PRD-00049,STR-0002,2024-01-03,1,12.07,Completed
ORD-00000141,PRD-00044,STR-0009,2024-01-04,5,24.7,Completed
ORD-00000142,PRD-00057,STR-0010,2024-01-04,1,351.23,Completed
ORD-00000143,PRD-00018,STR-0003,2024-01-04,3,207.45,Returned
ORD-00000144,PRD-00053,STR-0005,2024-01-04,2,36.54,Cancelled
ORD-00000145,PRD-00039,STR-0007,2024-01-04,5,1002.75,Completed
ORD-00000146,PRD-00057,STR-0008,2024-01-04,3,1053.69,Cancelled
ORD-00000147,PRD-00034,STR-0017,2024-01-04,3,1167.09,Returned
ORD-00000148,PRD-00003,STR-0005,2024-01-04,1,380.64,Returned
ORD-00000149,PRD-00041,STR-0012,2024-01-04,4,413.52,Returned
ORD-00000150,PRD-00028,STR-0006,2024-01-04,3,480.15,Completed
ORD-00000151,PRD-00030,STR-0015,2024-01-04,3,825.9,Completed
ORD-00000152,PRD-00026,STR-0009,2024-01-04,3,393.72,Cancelled
ORD-00000153,PRD-00003,STR-0005,2024-01-04,1,380.64,Returned
ORD-00000154,PRD-00053,STR-0014,2024-01-04,4,73.08,Completed
ORD-00000155,PRD-00007,STR-0017,2024-01-04,1,930.7,Cancelled
ORD-00000156,PRD-00048,STR-0001,2024-01-04,5,91.95,Completed
ORD-00000157,PRD-00005,STR-0017,2024-01-04,3,2220.12,Cancelled
ORD-00000158,PRD-00063,STR-0010,2024-01-04,5,794.75,Completed
ORD-00000159,PRD-00009,STR-0003,2024-01-04,5,5665.45,Completed
ORD-00000160,PRD-00015,STR-0006,2024-01-04,5,257.15,Completed
ORD-00000161,PRD-00060,STR-0007,2024-01-04,1,254.31,Returned
ORD-00000162,PRD-00056,STR-0009,2024-01-04,4,555.0,Completed
ORD-00000163,PRD-00020,STR-0011,2024-01-04,1,43.69,Completed
ORD-00000164,PRD-00044,STR-0015,2024-01-04,5,24.7,Returned
ORD-00000165,PRD-00056,STR-0001,2024-01-04,4,555.0,Cancelled
ORD-00000166,PRD-00038,STR-0001,2024-01-04,5,1101.75,Completed
ORD-00000167,PRD-00003,STR-0001,2024-01-04,2,761.28,Completed
ORD-00000168,PRD-00055,STR-0005,2024-01-04,3,10.86,Completed
ORD-00000169,PRD-00042,STR-0015,2024-01-04,2,7.92,Cancelled
ORD-00000170,PRD-00046,STR-0005,2024-01-04,2,23.44,Completed
ORD-00000171,PRD-00027,STR-0010,2024-01-04,2,243.84,Completed
ORD-00000172,PRD-00004,STR-0002,2024-01-04,2,1440.56,Cancelled
ORD-00000173,PRD-00045,STR-0003,2024-01-04,3,24.27,Completed
ORD-00000174,PRD-00030,STR-0007,2024-01-04,2,550.6,Completed
ORD-00000175,PRD-00021,STR-0014,2024-01-04,3,102.84,Completed
ORD-00000176,PRD-00028,STR-0012,2024-01-04,1,160.05,Completed
ORD-00000177,PRD-00057,STR-0004,2024-01-04,4,1404.92,Completed
ORD-00000178,PRD-00057,STR-0007,2024-01-04,4,1404.92,Completed
ORD-00000179,PRD-00058,STR-0015,2024-01-04,4,1947.96,Completed
ORD-00000180,PRD-00027,STR-0013,2024-01-04,5,609.6,Completed
ORD-00000181,PRD-00012,STR-0006,2024-01-04,5,4636.35,Cancelled
ORD-00000182,PRD-00067,STR-0004,2024-01-04,2,140.92,Completed
ORD-00000183,PRD-00016,STR-0016,2024-01-04,5,223.2,Completed
ORD-00000184,PRD-00041,STR-0014,2024-01-04,2,206.76,Completed
ORD-00000185,PRD-00012,STR-0017,2024-01-04,3,2781.81,Completed
ORD-00000186,PRD-00033,STR-0017,2024-01-04,1,381.98,Completed
ORD-00000187,PRD-00003,STR-0001,2024-01-04,4,1522.56,Completed
ORD-00000188,PRD-00052,STR-0004,2024-01-04,3,21.84,Completed
ORD-00000189,PRD-00040,STR-0003,2024-01-04,4,1410.76,Returned
ORD-00000190,PRD-00039,STR-0008,2024-01-04,1,200.55,Returned
ORD-00000191,PRD-00050,STR-0016,2024-01-04,1,4.77,Completed
ORD-00000192,PRD-00042,STR-0002,2024-01-04,2,7.92,Completed
ORD-00000193,PRD-00023,STR-0001,2024-01-04,2,231.68,Cancelled
ORD-00000194,PRD-00020,STR-0005,2024-01-04,4,174.76,Completed
ORD-00000195,PRD-00008,STR-0007,2024-01-04,3,3048.99,Completed
ORD-00000196,PRD-00054,STR-0006,2024-01-04,4,14.16,Completed
ORD-00000197,PRD-00023,STR-0017,2024-01-04,2,231.68,Returned
ORD-00000198,PRD-00024,STR-0012,2024-01-04,1,68.91,Completed
ORD-00000199,PRD-00004,STR-0016,2024-01-04,2,1440.56,Completed
ORD-00000200,PRD-00052,STR-0012,2024-01-04,3,21.84,Cancelled
ORD-00000201,PRD-00042,STR-0001,2024-01-04,1,3.96,Completed
ORD-00000202,PRD-00004,STR-0016,2024-01-04,1,720.28,Returned
ORD-00000203,PRD-00019,STR-0014,2024-01-04,1,138.26,Cancelled
ORD-00000204,PRD-00049,STR-0017,2024-01-04,2,24.14,Completed
ORD-00000205,PRD-00013,STR-0001,2024-01-04,3,2434.2,Completed
ORD-00000206,PRD-00012,STR-0014,2024-01-04,1,927.27,Completed
ORD-00000207,PRD-00061,STR-0015,2024-01-04,4,1633.0,Cancelled
ORD-00000208,PRD-00057,STR-0005,2024-01-04,5,1756.15,Returned
ORD-00000209,PRD-00001,STR-0010,2024-01-04,4,711.0,Completed
ORD-00000210,PRD-00033,STR-0005,2024-01-04,3,1145.94,Returned
ORD-00000211,PRD-00047,STR-0004,2024-01-04,4,77.44,Completed
ORD-00000212,PRD-00026,STR-0005,2024-01-04,2,262.48,Cancelled
ORD-00000213,PRD-00017,STR-0005,2024-01-04,2,91.82,Returned
ORD-00000214,PRD-00011,STR-0004,2024-01-04,4,1976.32,Completed
ORD-00000215,PRD-00014,STR-0008,2024-01-04,2,1922.8,Completed
ORD-00000216,PRD-00024,STR-0010,2024-01-04,3,206.73,Returned
ORD-00000217,PRD-00060,STR-0017,2024-01-04,5,1271.55,Cancelled
ORD-00000218,PRD-00035,STR-0005,2024-01-04,3,623.97,Completed
ORD-00000219,PRD-00048,STR-0005,2024-01-04,5,91.95,Returned
ORD-00000220,PRD-00005,STR-0013,2024-01-04,1,740.04,Completed
ORD-00000221,PRD-00024,STR-0001,2024-01-04,2,137.82,Returned
ORD-00000222,PRD-00005,STR-0008,2024-01-04,2,1480.08,Completed
ORD-00000223,PRD-00042,STR-0001,2024-01-04,5,19.8,Completed
ORD-00000224,PRD-00062,STR-0012,2024-01-04,2,880.9,Returned
ORD-00000225,PRD-00052,STR-0015,2024-01-04,2,14.56,Completed
ORD-00000226,PRD-00034,STR-0015,2024-01-04,1,389.03,Returned
ORD-00000227,PRD-00036,STR-0017,2024-01-04,3,1014.72,Completed
ORD-00000228,PRD-00024,STR-0009,2024-01-04,3,206.73,Completed
ORD-00000229,PRD-00059,STR-0004,2024-01-04,3,1199.43,Cancelled
ORD-00000230,PRD-00034,STR-0003,2024-01-04,3,1167.09,Completed
ORD-00000231,PRD-00017,STR-0004,2024-01-05,2,91.82,Completed
ORD-00000232,PRD-00015,STR-0004,2024-01-05,5,257.15,Returned
ORD-00000233,PRD-00038,STR-0005,2024-01-05,3,661.05,Completed
ORD-00000234,PRD-00058,STR-0014,2024-01-05,5,2434.95,Completed
ORD-00000235,PRD-00065,STR-0006,2024-01-05,4,1138.2,Cancelled
ORD-00000236,PRD-00025,STR-0005,2024-01-05,2,163.22,Completed
ORD-00000237,PRD-00026,STR-0012,2024-01-05,5,656.2,Cancelled
ORD-00000238,PRD-00020,STR-0017,2024-01-05,5,218.45,Completed
ORD-00000239,PRD-00047,STR-0008,2024-01-05,5,96.8,Completed
ORD-00000240,PRD-00048,STR-0006,2024-01-05,1,18.39,Returned
ORD-00000241,PRD-00022,STR-0008,2024-01-05,2,231.12,Cancelled
ORD-00000242,PRD-00055,STR-0007,2024-01-05,3,10.86,Completed
ORD-00000243,PRD-00052,STR-0010,2024-01-05,4,29.12,Cancelled
ORD-00000244,PRD-00054,STR-0016,2024-01-05,4,14.16,Completed
ORD-00000245,PRD-00018,STR-0010,2024-01-05,1,69.15,Completed
ORD-00000246,PRD-00033,STR-0010,2024-01-05,2,763.96,Returned
ORD-00000247,PRD-00009,STR-0002,2024-01-05,4,4532.36,Completed
ORD-00000248,PRD-00019,STR-0016,2024-01-05,2,276.52,Completed
ORD-00000249,PRD-00051,STR-0006,2024-01-05,4,39.08,Completed
ORD-00000250,PRD-00025,STR-0008,2024-01-05,3,244.83,Completed
ORD-00000251,PRD-00029,STR-0009,2024-01-05,2,432.68,Completed
ORD-00000252,PRD-00016,STR-0005,2024-01-05,2,89.28,Completed
ORD-00000253,PRD-00019,STR-0009,2024-01-05,3,414.78,Completed
ORD-00000254,PRD-00016,STR-0017,2024-01-05,3,133.92,Cancelled
ORD-00000255,PRD-00014,STR-0016,2024-01-05,2,1922.8,Returned
ORD-00000256,PRD-00057,STR-0010,2024-01-05,1,351.23,Cancelled
ORD-00000257,PRD-00059,STR-0005,2024-01-05,1,399.81,Returned
ORD-00000258,PRD-00044,STR-0009,2024-01-05,1,4.94,Completed
ORD-00000259,PRD-00033,STR-0004,2024-01-05,4,1527.92,Completed
ORD-00000260,PRD-00022,STR-0016,2024-01-05,3,346.68,Completed
ORD-00000261,PRD-00067,STR-0004,2024-01-05,1,70.46,Returned
ORD-00000262,PRD-00047,STR-0008,2024-01-05,4,77.44,Returned
ORD-00000263,PRD-00056,STR-0014,2024-01-05,1,138.75,Returned
ORD-00000264,PRD-00014,STR-0009,2024-01-05,3,2884.2,Completed
ORD-00000265,PRD-00066,STR-0011,2024-01-05,4,1092.44,Returned
ORD-00000266,PRD-00033,STR-0012,2024-01-05,1,381.98,Completed
ORD-00000267,PRD-00013,STR-0016,2024-01-05,2,1622.8,Cancelled
ORD-00000268,PRD-00064,STR-0008,2024-01-05,5,1381.65,Completed
ORD-00000269,PRD-00035,STR-0004,2024-01-05,4,831.96,Cancelled
ORD-00000270,PRD-00049,STR-0017,2024-01-05,4,48.28,Completed
ORD-00000271,PRD-00014,STR-0004,2024-01-05,5,4807.0,Completed
ORD-00000272,PRD-00016,STR-0008,2024-01-05,3,133.92,Cancelled
ORD-00000273,PRD-00054,STR-0013,2024-01-05,1,3.54,Completed
ORD-00000274,PRD-00057,STR-0015,2024-01-05,5,1756.15,Cancelled
ORD-00000275,PRD-00005,STR-0013,2024-01-05,4,2960.16,Returned
ORD-00000276,PRD-00004,STR-0007,2024-01-05,5,3601.4,Completed
ORD-00000277,PRD-00004,STR-0011,2024-01-05,1,720.28,Completed
ORD-00000278,PRD-00053,STR-0001,2024-01-05,4,73.08,Completed
ORD-00000279,PRD-00046,STR-0012,2024-01-05,3,35.16,Completed
ORD-00000280,PRD-00036,STR-0015,2024-01-05,1,338.24,Completed
ORD-00000281,PRD-00059,STR-0009,2024-01-05,2,799.62,Completed
ORD-00000282,PRD-00042,STR-0013,2024-01-06,3,11.88,Completed
ORD-00000283,PRD-00064,STR-0003,2024-01-06,3,828.99,Completed
ORD-00000284,PRD-00030,STR-0011,2024-01-06,3,825.9,Completed
ORD-00000285,PRD-00012,STR-0013,2024-01-06,3,2781.81,Cancelled
ORD-00000286,PRD-00064,STR-0006,2024-01-06,4,1105.32,Completed
ORD-00000287,PRD-00034,STR-0016,2024-01-06,3,1167.09,Completed
ORD-00000288,PRD-00057,STR-0012,2024-01-06,2,702.46,Completed
ORD-00000289,PRD-00042,STR-0001,2024-01-06,1,3.96,Completed
ORD-00000290,PRD-00040,STR-0017,2024-01-06,5,1763.45,Completed
ORD-00000291,PRD-00023,STR-0013,2024-01-06,5,579.2,Returned
ORD-00000292,PRD-00010,STR-0007,2024-01-06,1,616.75,Completed
ORD-00000293,PRD-00052,STR-0009,2024-01-06,2,14.56,Returned
ORD-00000294,PRD-00044,STR-0012,2024-01-06,4,19.76,Completed
ORD-00000295,PRD-00050,STR-0004,2024-01-06,3,14.31,Cancelled
ORD-00000296,PRD-00011,STR-0011,2024-01-06,2,988.16,Completed
ORD-00000297,PRD-00006,STR-0008,2024-01-06,5,5784.0,Completed
ORD-00000298,PRD-00036,STR-0001,2024-01-06,4,1352.96,Completed
ORD-00000299,PRD-00029,STR-0008,2024-01-06,2,432.68,Completed
ORD-00000300,PRD-00028,STR-0005,2024-01-06,1,160.05,Completed
ORD-00000301,PRD-00032,STR-0001,2024-01-06,5,897.75,Completed
ORD-00000302,PRD-00057,STR-0014,2024-01-06,5,1756.15,Cancelled
ORD-00000303,PRD-00025,STR-0014,2024-01-06,2,163.22,Cancelled
ORD-00000304,PRD-00052,STR-0013,2024-01-06,3,21.84,Returned
ORD-00000305,PRD-00047,STR-0009,2024-01-06,4,77.44,Completed
ORD-00000306,PRD-00047,STR-0008,2024-01-06,3,58.08,Cancelled
ORD-00000307,PRD-00046,STR-0003,2024-01-06,2,23.44,Completed
ORD-00000308,PRD-00032,STR-0005,2024-01-06,1,179.55,Cancelled
ORD-00000309,PRD-00061,STR-0011,2024-01-06,1,408.25,Cancelled
ORD-00000310,PRD-00030,STR-0012,2024-01-06,5,1376.5,Completed
ORD-00000311,PRD-00060,STR-0009,2024-01-06,5,1271.55,Completed
ORD-00000312,PRD-00059,STR-0015,2024-01-06,4,1599.24,Cancelled
ORD-00000313,PRD-00056,STR-0003,2024-01-06,2,277.5,Completed
ORD-00000314,PRD-00058,STR-0002,2024-01-06,3,1460.97,Completed
ORD-00000315,PRD-00019,STR-0003,2024-01-06,3,414.78,Completed
ORD-00000316,PRD-00036,STR-0009,2024-01-06,1,338.24,Returned
ORD-00000317,PRD-00063,STR-0014,2024-01-06,2,317.9,Completed
ORD-00000318,PRD-00028,STR-0015,2024-01-06,3,480.15,Cancelled
ORD-00000319,PRD-00039,STR-0011,2024-01-06,2,401.1,Cancelled
ORD-00000320,PRD-00066,STR-0014,2024-01-06,2,546.22,Cancelled
ORD-00000321,PRD-00041,STR-0001,2024-01-06,5,516.9,Completed
ORD-00000322,PRD-00046,STR-0004,2024-01-06,1,11.72,Cancelled
ORD-00000323,PRD-00009,STR-0017,2024-01-06,4,4532.36,Returned
ORD-00000324,PRD-00021,STR-0007,2024-01-06,2,68.56,Cancelled
ORD-00000325,PRD-00023,STR-0006,2024-01-06,1,115.84,Returned
ORD-00000326,PRD-00064,STR-0004,2024-01-06,3,828.99,Completed
ORD-00000327,PRD-00013,STR-0013,2024-01-06,5,4057.0,Returned
ORD-00000328,PRD-00050,STR-0014,2024-01-06,4,19.08,Returned
ORD-00000329,PRD-00061,STR-0005,2024-01-06,3,1224.75,Completed
ORD-00000330,PRD-00013,STR-0010,2024-01-06,3,2434.2,Completed
ORD-00000331,PRD-00056,STR-0009,2024-01-06,4,555.0,Completed
ORD-00000332,PRD-00024,STR-0009,2024-01-06,4,275.64,Completed
ORD-00000333,PRD-00030,STR-0012,2024-01-06,1,275.3,Completed
ORD-00000334,PRD-00058,STR-0004,2024-01-06,5,2434.95,Completed
ORD-00000335,PRD-00003,STR-0002,2024-01-06,5,1903.2,Completed
ORD-00000336,PRD-00048,STR-0004,2024-01-06,2,36.78,Completed
ORD-00000337,PRD-00068,STR-0001,2024-01-06,1,503.74,Completed
ORD-00000338,PRD-00050,STR-0010,2024-01-06,1,4.77,Cancelled
ORD-00000339,PRD-00048,STR-0003,2024-01-06,2,36.78,Completed
ORD-00000340,PRD-00064,STR-0006,2024-01-06,5,1381.65,Completed
ORD-00000341,PRD-00045,STR-0004,2024-01-06,2,16.18,Cancelled
ORD-00000342,PRD-00048,STR-0006,2024-01-06,4,73.56,Returned
ORD-00000343,PRD-00023,STR-0017,2024-01-06,2,231.68,Completed
ORD-00000344,PRD-00004,STR-0002,2024-01-06,5,3601.4,Completed
ORD-00000345,PRD-00040,STR-0010,2024-01-06,1,352.69,Completed
ORD-00000346,PRD-00024,STR-0017,2024-01-06,2,137.82,Completed
ORD-00000347,PRD-00064,STR-0007,2024-01-06,5,1381.65,Completed
ORD-00000348,PRD-00044,STR-0015,2024-01-06,5,24.7,Completed
ORD-00000349,PRD-00058,STR-0004,2024-01-06,5,2434.95,Completed
ORD-00000350,PRD-00044,STR-0008,2024-01-06,3,14.82,Completed
ORD-00000351,PRD-00031,STR-0016,2024-01-06,2,605.66,Completed
ORD-00000352,PRD-00006,STR-0012,2024-01-06,1,1156.8,Completed
ORD-00000353,PRD-00013,STR-0017,2024-01-06,1,811.4,Returned
ORD-00000354,PRD-00042,STR-0017,2024-01-06,5,19.8,Cancelled
ORD-00000355,PRD-00067,STR-0013,2024-01-06,5,352.3,Returned
ORD-00000356,PRD-00026,STR-0010,2024-01-06,3,393.72,Completed
ORD-00000357,PRD-00058,STR-0007,2024-01-06,3,1460.97,Returned
ORD-00000358,PRD-00055,STR-0013,2024-01-06,4,14.48,Completed
ORD-00000359,PRD-00011,STR-0016,2024-01-06,1,494.08,Completed
ORD-00000360,PRD-00014,STR-0011,2024-01-06,5,4807.0,Completed
